,Metadata_Well,Metadata_Site,ImageQuality_PowerLogLogSlope,ImageQuality_PercentMaximal,Channel
1051,B07,f11,-2.5690357257948357,4.0799431579500105,DNA
1381,D08,f05,-2.4555517122294166,0.9316418557025836,DNA
1413,D10,f05,-2.2482798767008805,0.3879174543163201,DNA
1432,D11,f08,-2.1741410298183017,0.3111216131064902,DNA
1433,D11,f09,-2.329139459116565,1.6319116257088846,DNA
1855,G07,f15,-2.721585352170785,4.589782214870826,DNA
1863,G08,f07,-2.182701552422603,0.4370635108170552,DNA
1864,G08,f08,-2.592123575625078,2.835128518168452,DNA
1865,G08,f09,-2.221467874219049,1.776396109010712,DNA
2969,B07,f09,-2.395427183511409,0.3376227420709934,PM
3029,B11,f05,-2.596809086063554,3.704578869985297,PM
3030,B11,f06,-2.260907766744159,1.3776484719596724,PM
3035,B11,f11,-2.4610068418418605,1.467653854232304,PM
3174,C10,f06,-2.0981896201725165,0.3871790327662255,PM
3175,C10,f07,-2.0394782613599864,0.320310859063222,PM
3190,C11,f06,-2.300873403093979,0.8111150493593783,PM
3267,D06,f03,-2.423681732088769,1.3751050199537913,PM
3297,D08,f01,-2.3868452619853207,0.6611334278512917,PM
3333,D10,f05,-2.4299341828526724,0.9081764597773576,PM
3353,D11,f09,-2.3249022018637016,0.3381150231043898,PM
3428,E06,f04,-2.303739338018921,0.2815847511027095,PM
3471,E08,f15,-2.3550158697450567,0.3382791167821886,PM
3634,F09,f02,-2.413237995902674,0.4281204053770216,PM
